File Name,Abies,Acer,Alnus,Betula,Cleared,Fagus,Fraxinus,Larix,Picea,Pinus,Populus,Prunus,Pseudotsuga,Quercus,Tilia
Pseudotsuga_menziesii_3_78528_WEFL_NLF.tif,,,,,,,,,,,,,1,,
Abies_alba_3_834_WEFL_NLF.tif,0.93771,,,,,,,0.06229,,,,,,,
Acer_pseudoplatanus_1_7587_WEFL_NLF.tif,,0.93266,,,,,,,0.06734,,,,,,
Betula_spec._3_16038_WEFL_NLF.tif,,,,0.94366,,,,,,,,,,,
Cleared_0_23454_WEFL_NLF.tif,,,,,1,,,,,,,,,,
Fagus_sylvatica_7_27697_WEFL_NLF.tif,,,,,,0.94659,,,0.05341,,,,,,
Pseudotsuga_menziesii_0_76151_WEFL_NLF.tif,,,,,,,,,0.34596,,,,0.38587,0.26817,
Acer_pseudoplatanus_2_6186_WEFL_NLF.tif,,0.98279,,,,0.01721,,,,,,,,,
Fraxinus_excelsior_3_32881_WEFL_NLF.tif,,,,,,0.01225,0.87873,,0.06498,,,,,,
Fagus_sylvatica_1_29861_WEFL_NLF.tif,,,,,,0.9683,,,,,,,,,
Alnus_spec._3_12498_WEFL_NLF.tif,,,0.36891,,,,,,,0.37309,,,,,
Betula_spec._1_19262_WEFL_NLF.tif,,,,0.81752,,,,,0.06206,,,,,,
Larix_decidua_8_37936_WEFL_NLF.tif,,,,,,,,1,,,,,,,
Fraxinus_excelsior_5_30638_WEFL_NLF.tif,,,,,,,0.93458,,,,,,,0.06542,
Acer_pseudoplatanus_3_6364_WEFL_NLF.tif,,0.69357,,,,0.1813,,,,,,,,,
Pinus_sylvestris_9_63701_WEFL_NLF.tif,,,,,0.03186,,,,,0.96814,,,,,
Quercus_robur_5_86111_WEFL_NLF.tif,0.02906,,,,,,,,,,,,,0.17979,
Picea_abies_6_45676_WEFL_NLF.tif,,,,,,,,,1,,,,,,
Quercus_petraea_8_83752_WEFL_NLF.tif,,,,,,,,,0.11854,,,,,0.88146,
Larix_decidua_3_36143_WEFL_NLF.tif,,,,,,0.1425,,0.8575,,,,,,,
Betula_spec._2_18504_WEFL_NLF.tif,,,,0.77638,,,,,,0.22362,,,,,
Betula_spec._2_17133_WEFL_NLF.tif,,,,1,,,,,,,,,,,
Abies_alba_3_4561_WEFL_NLF.tif,0.76703,,,,,0.03755,,0.1322,,0.04081,,,,0.02241,
Cleared_0_20963_WEFL_NLF.tif,,,,,0.65942,,,,,0.08259,,,,,
Quercus_robur_1_86635_WEFL_NLF.tif,,,,,,,,,0.22617,,,,,0.77383,
Fagus_sylvatica_1_28581_WEFL_NLF.tif,,,,,,0.93942,,0.01524,,0.0269,,,,0.01845,
Cleared_0_24321_WEFL_NLF.tif,,,,,0.88989,,,,,0.11011,,,,,
Pinus_sylvestris_9_60807_WEFL_NLF.tif,,,,,,,,,,1,,,,,
Picea_abies_9_49215_WEFL_NLF.tif,,,,,,,,,1,,,,,,
Alnus_spec._4_11222_WEFL_NLF.tif,,,0.99183,,,,,,,,,,,,
Quercus_robur_11_87258_WEFL_NLF.tif,,,,,,,,,,,,,,1,
Pseudotsuga_menziesii_3_76143_WEFL_NLF.tif,,,,,,0.13666,,,,,,,0.86334,,
Alnus_spec._4_12563_WEFL_NLF.tif,,,0.95729,,,,,,,,,,,0.04271,
Pseudotsuga_menziesii_3_78737_WEFL_NLF.tif,,,,,,,,,,,,,1,,
Alnus_spec._4_11695_WEFL_NLF.tif,,,0.74444,,0.05364,,,,0.13264,,,,,,
Quercus_petraea_5_80631_WEFL_NLF.tif,,,,,,,,,,,,,,0.98348,
Abies_alba_4_4459_WEFL_NLF.tif,0.90504,,,,,0.09496,,,,,,,,,
Cleared_0_23230_WEFL_NLF.tif,,,,,1,,,,,,,,,,
Fraxinus_excelsior_4_34255_WEFL_NLF.tif,,,,,,0.15477,0.84523,,,,,,,,
Acer_pseudoplatanus_3_6455_WEFL_NLF.tif,,0.62541,,,0.08979,0.2848,,,,,,,,,
Pinus_sylvestris_4_62005_WEFL_NLF.tif,,,,,,,,,,1,,,,,
Fagus_sylvatica_1_29530_WEFL_NLF.tif,,,,,,0.74481,,,0.25519,,,,,,
Cleared_0_24335_WEFL_NLF.tif,,,,,1,,,,,,,,,,
Larix_decidua_3_36755_WEFL_NLF.tif,,,,,,,,0.53529,,,,,,0.20433,
Quercus_rubra_4_93016_WEFL_NLF.tif,,,,,,,,,,,,,,1,
Pseudotsuga_menziesii_3_75095_WEFL_NLF.tif,,,,,,0.16709,,,,,,,0.83291,,
Quercus_petraea_3_81932_WEFL_NLF.tif,,,,,,0.03612,,,,,,,,0.10121,
Cleared_0_22365_WEFL_NLF.tif,,,,,0.73269,,,,0.26731,,,,,,
Fagus_sylvatica_1_27656_WEFL_NLF.tif,,,,,,0.74691,,,0.09753,,,,0.15556,,
Pinus_sylvestris_2_61002_WEFL_NLF.tif,,,,,,,,,,0.94234,,,0.05766,,
Larix_kaempferi_3_42950_WEFL_NLF.tif,0.23107,,,,,,,0.47055,,,,,,,
